[(10, u'heartpoor')
(10, u'devilporter')
(10, u'contracting')
(10, u'2sm1335')
(10, u"virtues'")
(10, u'2chr1719')
(10, u'refractory')
(10, u"black'st")
(10, u'lovingjealous')
(10, u'udders')
(10, u'1ki1620')
(10, u'candleholder')
(10, u'2ki1928')
(10, u'scut')
(10, u'falstaffs')
(10, u'thereand')
(10, u'sepharvites')
(10, u'purtenance')
(10, u'asarelah')
(10, u'illheaded')
(10, u'trebled')
(10, u'templehaunting')
(10, u'1ki2225')
(10, u'veritable')
(10, u'malignity')
(10, u'1ki848')
(10, u'bleedingnew')
(10, u'repentest')
(10, u"carpenter'")
(10, u'carbuncled')
(10, u'ambiguous')
(10, u'2ki1937')
(10, u'steadfastly')
(10, u'2chr1823')
(10, u'irpeel')
(10, u"'sometime")
(10, u'2chr3410')
(10, u'2jn113')
(10, u'lutheran')
(10, u'glorifies')
(10, u'1sm3024')
(10, u'1ki1527')
(10, u'nosepainting')
(10, u'mishraites')
(10, u'mmalvolio')
(10, u'sanctifies')
(10, u'unbashful')
(10, u'unknowing')
(10, u'2tim21')
(10, u'1ki2236')
(10, u'athol')
(10, u'purchases')
(10, u'2sm320')
(10, u'candlecases')
(10, u'sleights')
(10, u'2ki229')
(10, u'inured')
(10, u'rumble')
(10, u'holyales')
(10, u'northamptonshire')
(10, u'subduing')
(10, u'uel')
(10, u'sourfaced')
(10, u'1sm1523')
(10, u'xxxiii')
(10, u'sisterly')
(10, u'3jn110')
(10, u'1ki1134')
(10, u'sheeted')
(10, u'hairbreadth')
(10, u'enwombed')
(10, u"bemock'dat")
(10, u'superbus')
(10, u'2chr814')
(10, u'amad')
(10, u'slenderer')
(10, u'2chr199')
(10, u'bentii')
(10, u'mazes')
(10, u'1sm259')
(10, u'zarthan')
(10, u'freedoms')
(10, u'2chr638')
(10, u'deservedly')
(10, u'bawling')
(10, u'2ki82')
(10, u'generosity')
(10, u'1jn45')
(10, u'2ki2316')
(10, u'exteriorly')
(10, u'witold')
(10, u'1sm2214')
(10, u"side's")
(10, u'percussion')
(10, u'2ki1726')
(10, u'2ki175')
(10, u'slowgaited')
(10, u'achiever')
(10, u'paring')
(10, u'2sm135')
(10, u'iri')
(10, u"mortimer'")
(10, u'sleevehand')
(10, u'jose')
(10, u'contemplate')
(10, u'2chr35')
(10, u'straightest')
(10, u'sorek')
(10, u'eboncoloured')
(10, u'2pet24')
(10, u'sightly')
(10, u'judgementday')
(10, u'goodfaced')
(10, u'2sm1326')
(10, u'2chr1614')
(10, u'1chr718')
(10, u'dreadeth')
(10, u'2sm11')
(10, u'rangers')
(10, u'cohorts')
(10, u'eglaim')
(10, u'ticklebrain')
(10, u'zebulunites')
(10, u'demuring')
(10, u'eyeshis')
(10, u'admonishments')
(10, u'sinim')
(10, u'2sm1520')
(10, u'overbuys')
(10, u'1chr167')
(10, u'1chr23')
(10, u'tim')
(10, u'2ki2514')
(10, u'uplocked')
(10, u'saxton')
(10, u'soils')
(10, u'2chr168')
(10, u'1ki12')
(10, u'ostlers')
(10, u'unrebukeable')
(10, u'quid')
(10, u"rich'd")
(10, u'prononcer')
(10, u'momentaryswift')
(10, u'collops')
(10, u'justborne')
(10, u"suppliant's")
(10, u'plowers')
(10, u'enviest')
(10, u'2ki625')
(10, u'1chr1620')
(10, u'allonbachuth')
(10, u'eleph')
(10, u"him's")
(10, u'jessicathou')
(10, u'sunburning')
(10, u"niece's")
(10, u'proposes')
(10, u"finger's")
(10, u'attraction')
(10, u'extracted')
(10, u'severest')
(10, u'2sm157')
(10, u'1sm1721')
(10, u'1chr2430')
(10, u'likedst')
(10, u'misgive')
(10, u'sleepinghours')
(10, u'1ki242')
(10, u'tweaks')
(10, u"pluck't")
(10, u'1sm2416')
(10, u'cursorary')
(10, u'1cor133')
(10, u'2cor211')
(10, u'jewellike')
(10, u'cowers')
(10, u'hinderd')
(10, u'1sm1534')
(10, u'2sm1410')
(10, u'webs')
(10, u'malignantly')
(10, u'emptiers')
(10, u"bluevein'd")
(10, u'sprawl')
(10, u"perfect'st")
(10, u'transgressest')
(10, u'purr')
(10, u'agates')
(10, u'1cor212')
(10, u'allending')
(10, u'1chr1527')
(10, u'rinsing')
(10, u'1ki34')
(10, u"soak'd")
(10, u'jethlah')
(10, u'gleams')
(10, u"may'st")
(10, u"o'erweening")
(10, u'unrighteously')
(10, u"death'and")
(10, u'transcends')
(10, u'ragingmad')
(10, u"o'ershine")
(10, u'comicalhistoricalpastoral')
(10, u'benevolences')
(10, u'southfog')
(10, u'bethinking')
(10, u"scorch'd")
(10, u"o'ergreen")
(10, u'sharps')
(10, u'voudrais')
(10, u'2ki715')
(10, u'censurers')
(10, u'presenters')
(10, u'rant')
(10, u'bevel')
(10, u'clearshining')
(10, u'maleleel')
(10, u'lowering')
(10, u'ashteroth')
(10, u'2sm2217')
(10, u'tisa')
(10, u"wrath's")
(10, u'sackclothes')
(10, u'abruption')
(10, u'appele')
(10, u'2chr919')
(10, u'malchiram')
(10, u'streaming')
(10, u'sticketh')
(10, u'behest')
(10, u'penurious')
(10, u'openeyed')
(10, u'encertainties')
(10, u'2cor710')
(10, u'hoodman')
(10, u'incardinate')
(10, u'thicksighted')
(10, u"shrub's")
(10, u'1ki1912')
(10, u'embodied')
(10, u'2chr3429')
(10, u'2ki104')
(10, u'poem')
(10, u'bunah')
(10, u'newbeloved')
(10, u"sovereign'")
(10, u'bettertheir')
(10, u'2chr3623')
(10, u'protestings')
(10, u'1chr56')
(10, u'emby')
(10, u'quare')
(10, u'2sm1814')
(10, u'unbarbed')
(10, u'childa')
(10, u"dovefeather'd")
(10, u'treaties')
(10, u'feebly')
(10, u'blackmere')
(10, u'delves')
(10, u'wallets')
(10, u'workmanly')
(10, u'1ki710')
(10, u"matron's")
(10, u'shoa')
(10, u'ito')
(10, u'acclamation')
(10, u'presenter')
(10, u'distasteful')
(10, u'bickerings')
(10, u"'out")
(10, u'antichrists')
(10, u'selfcharity')
(10, u'trencherfriends')
(10, u"something's")
(10, u'2sm42')
(10, u'maoch')
(10, u'ara')
(10, u'charolois')
(10, u'cvii')
(10, u'outdare')
(10, u'1sm714')
(10, u'1chr431')
(10, u'breakneck')
(10, u'eaux')
(10, u'hasupha')
(10, u'sargeant')
(10, u'fivefathom')
(10, u'2pet210')
(10, u'2sm1425')
(10, u'1jn23')
(10, u'dern')
(10, u'shiloni')
(10, u'diblaim')
(10, u'anticipatest')
(10, u'dispossessing')
(10, u"purplecolour'd")
(10, u'parcelgilt')
(10, u'proface')
(10, u'2jn19')
(10, u'1cor155')
(10, u'elihoenai')
(10, u'eyeglass')
(10, u'1ki1123')
(10, u'disliken')
(10, u'1th512')
(10, u'1jn318')
(10, u"betray's")
(10, u'wallet')
(10, u'potentate')
(10, u"garden's")
(10, u'devoid')
(10, u'2sm412')
(10, u'1ki620')
(10, u'comesone')
(10, u'aspatha')
(10, u'incantations')
(10, u"scour'")
(10, u'1chr2315')
(10, u'telah')
(10, u'underwrite')
(10, u'untutored')
(10, u'undercrest')
(10, u'1sm813')
(10, u'1chr178')
(10, u'salving')
(10, u'kirioth')
(10, u'enrings')
(10, u'1ki105')
(10, u'imna')
(10, u'1chr923')
(10, u'beated')
(10, u'presbytery')
(10, u"serve'tis")
(10, u'preaches')
(10, u'1chr2625')
(10, u'1chr835')
(10, u'1ki78')
(10, u'1chr49')
(10, u'2pet315')
(10, u'fenny')
(10, u"oversway'd")
(10, u'hempseed')
(10, u'2chr641')
(10, u'1ki831')
(10, u'2chr22')
(10, u'princessgoddesso')
(10, u'2ki1421')
(10, u'2ki2118')
(10, u"sink'")
(10, u'2chr713')
(10, u'yead')
(10, u'sherd')
(10, u"cabin'd")
(10, u'inhabiting')
(10, u'putrified')
(10, u'sundaycitizens')
(10, u'sheephook')
(10, u'levers')
(10, u'2ki59')
(10, u'janna')
(10, u'2sm203')
(10, u'vixen')
(10, u'clover')
(10, u'nethermost')
(10, u'1chr2816')
(10, u'woolvish')
(10, u'1sm178')
(10, u'1chr2210')
(10, u'eyebeams')
(10, u'gooda')
(10, u'putterout')
(10, u"uncontemn'd")
(10, u'hakkatan')
(10, u'exhaust')
(10, u'unguem')
(10, u"drunkenness'")
(10, u'flecked')
(10, u'corinthian')
(10, u'2pet113')
(10, u'2cor38')
(10, u'eaglewinged')
(10, u'2sm2312')
(10, u'1sm89')
(10, u'godsthe')
(10, u'cutteroff')
(10, u'plenteously')
(10, u"look'")
(10, u'taphouse')
(10, u'myrmidon')
(10, u'manningtree')
(10, u'1sm282')
(10, u"sick'd")
(10, u'2sm1111')
(10, u'samingo')
(10, u'resurrections')
(10, u'jerubbesheth')
(10, u"moorship's")
(10, u'sutton')
(10, u'brinepits')
(10, u'supporting')
(10, u'beaded')
(10, u'bethgader')
(10, u'pamphlets')
(10, u'1pet21')
(10, u'1chr2926')
(10, u'rougemont')
(10, u"wheresome'er")
(10, u'foldeth')
(10, u'2chr1834')
(10, u'bating')
(10, u'enpatron')
(10, u"o'erhasty")
(10, u'ahiramites')
(10, u'1tim412')
(10, u'hasenuah')
(10, u'1cor1113')
(10, u'miretur')
(10, u'1ki2027')
(10, u'flote')
(10, u'wellminded')
(10, u'sodering')
(10, u'1chr934')
(10, u'wotting')
(10, u'lynn')
(10, u'milea')
(10, u'nostra')
(10, u'ail')
(10, u"o'errate")
(10, u'plantings')
(10, u'abagtha')
(10, u'1chr826')
(10, u'2pet11')
(10, u'coigns')
(10, u'suppresseth')
(10, u'requirest')
(10, u'illwresting')
(10, u'macedonian')
(10, u'1ki633')
(10, u"any's")
(10, u'10')
(10, u'2ki319')
(10, u'crams')
(10, u"exist'st")
(10, u'wronging')
(10, u'stouter')
(10, u'eltekon')
(10, u'servantmaid')
(10, u'propagation')
(10, u"glover's")
(10, u'blockish')
(10, u'gests')
(10, u'2chr3111')
(10, u'shibmah')
(10, u'1chr1619')
(10, u"tender'st")
(10, u'bariah')
(10, u'birsha')
(10, u'unviolable')
(10, u'testiness')
(10, u'aslant')
(10, u'untented')
(10, u'2chr2916')
(10, u'bimhal')
(10, u'unweeded')
(10, u"''among")
(10, u'dunstable')
(10, u"gun's")
(10, u'2chr3025')
(10, u'pressure')
(10, u'plodders')
(10, u'laidst')
(10, u'frampold')
(10, u'steaded')
(10, u'cyprusgoats')
(10, u'welldisposed')
(10, u'loammi')
(10, u'bazlith')
(10, u'agatestone')
(10, u'1ki1321')
(10, u'excludes')
(10, u'skips')
(10, u'unthread')
(10, u'enfoldings')
(10, u'1jn417')
(10, u'bleedinghearts')
(10, u'1chr2113')
(10, u"wife'sdid")
(10, u'pilchards')
(10, u'1sm1758')
(10, u'cxlix')
(10, u'1sm2531')
(10, u'fashionmonging')
(10, u'hazerim')
(10, u'zaphnathpaaneah')
(10, u'gibea')
(10, u'conform')
(10, u'1th16')
(10, u'2chr209')
(10, u'graveshall')
(10, u'1th38')
(10, u'1pet213')
(10, u'blindworms')
(10, u'pickbone')
(10, u'1ki1615')
(10, u'1chr1417')
(10, u'fulfills')
(10, u'2sm28')
(10, u'quickness')
(10, u'manservants')
(10, u'correctioner')
(10, u'1sm134')
(10, u'1sm101')
(10, u'2cor1123')
(10, u'1pet14')
(10, u'hues')
(10, u'trundletail')
(10, u'2ki2419')
(10, u'reveals')
(10, u'2pet37')
(10, u'bateless')
(10, u'honourgiving')
(10, u'eftsoons')
(10, u"prince'")
(10, u'1ki862')
(10, u'talon')
(10, u'uncorrected')
(10, u'noton')
(10, u'1ki2113')
(10, u'1ki923')
(10, u'hamonah')
(10, u'trickleth')
(10, u'guardfirst')
(10, u'merriman')
(10, u"revenge'")
(10, u'superiors')
(10, u'disquietness')
(10, u'nebor')
(10, u'unsound')
(10, u'longlived')
(10, u'justicelike')
(10, u'1ki817')
(10, u'1sm2522')
(10, u'3jn18')
(10, u'1pet411')
(10, u"jenny's")
(10, u"restrain'st")
(10, u'uproars')
(10, u'heretick')
(10, u'frustrateth')
(10, u'chargest')
(10, u'2ki1313')
(10, u"chandler's")
(10, u'strawberry')
(10, u'1sm2319')
(10, u'1ki27')
(10, u'daedalus')
(10, u'naharai')
(10, u'1cor616')
(10, u'satis')
(10, u'thoughtexecuting')
(10, u'2cor1013')
(10, u'badly')
(10, u"untrain'd")
(10, u'ilai')
(10, u'2ki243')
(10, u'2sm99')
(10, u'gaudeo')
(10, u'birthan')
(10, u'fleets')
(10, u'seely')
(10, u'newadopted')
(10, u'injointed')
(10, u'pyramides')
(10, u'zoheleth')
(10, u'prejudicial')
(10, u'bepray')
(10, u'jigs')
(10, u'therebless')
(10, u'starves')
(10, u'1ki1211')
(10, u'1pet125')
(10, u"o'erlooking")
(10, u'1cor13')
(10, u'heavenhued')
(10, u'2ki131')
(10, u'ashypale')
(10, u'2sm2114')
(10, u'aphekah')
(10, u'2chr177')
(10, u'cuckooflowers')
(10, u'overfond')
(10, u'dalaiah')
(10, u"offend'st")
(10, u'juttingout')
(10, u"fidele's")
(10, u'anaharath')
(10, u'1sm1426')
(10, u"corivall'd")
(10, u'1sm67')
(10, u'unfaithfully')
(10, u'allhe')
(10, u'againbut')
(10, u'2sm210')
(10, u'falseheart')
(10, u"inshell'd")
(10, u'2chr2310')
(10, u'repaying')
(10, u'2ki2330')
(10, u'1chr314')
(10, u'outgrown')
(10, u"ambercolour'd")
(10, u'cobloaf')
(10, u'1jn215')
(10, u'etc')
(10, u'glared')
(10, u'heartburning')
(10, u'currance')
(10, u'tested')
(10, u'lionfell')
(10, u"goes't")
(10, u'vailed')
(10, u'outran')
(10, u'tutto')
(10, u'1sm1013')
(10, u'evitate')
(10, u'2sm144')
(10, u'gederathite')
(10, u'verities')
(10, u'discolour')
(10, u'smacking')
(10, u'passant')
(10, u'1ki2041')
(10, u'clovest')
(10, u'crook')
(10, u"broker'")
(10, u'ripely')
(10, u'middin')
(10, u"fang'd")
(10, u'primrosebeds')
(10, u'bashanhavothjair')
(10, u'chamberdoors')
(10, u'1ki1817')
(10, u'bypast')
(10, u'1chr422')
(10, u'chapeless')
(10, u'tattlers')
(10, u'1pet110')
(10, u'filch')
(10, u'1sm1611')
(10, u'chislothtabor')
(10, u'2chr353')
(10, u"perceive's")
(10, u'toiled')
(10, u'idem')
(10, u'rating')
(10, u'elkoshite')
(10, u'hobah')
(10, u'impudency')
(10, u'1cor66')
(10, u'foolborn')
(10, u'fellowhelpers')
(10, u'eyestrings')
(10, u'1sm1435')
(10, u'aesop')
(10, u'cheerless')
(10, u'2sm2024')
(10, u'assemblance')
(10, u'wellcontented')
(10, u'thosesit')
(10, u'1ki321')
(10, u'marketcrosses')
(10, u"unstuff'd")
(10, u'tobepitied')
(10, u'2sm1919')
(10, u'religions')
(10, u'diameter')
(10, u'1tim517')
(10, u'quotes')
(10, u'forgoing')
(10, u'majority')
(10, u'herefie')
(10, u'2chr71')
(10, u'sceva')
(10, u'weakbuilt')
(10, u'2sm1223')
(10, u'dalmatia')
(10, u'1ki1026')
(10, u'2ki15')
(10, u'1ki85')
(10, u'2cor12')
(10, u'1chr92')
(10, u'ethanim')
(10, u'thricenobler')
(10, u'hirest')
(10, u"'twas")
(10, u'outtongue')
(10, u'superior')
(10, u'1ki1332')
(10, u'2sm171')
(10, u'pencils')
(10, u'guysors')
(10, u'1sm2012')
(10, u'plastering')
(10, u'relier')
(10, u'1cor1023')
(10, u'daunts')
(10, u'1sm3019')
(10, u'barleybroth')
(10, u"steer'd")
(10, u'hillocks')
(10, u'chimes')
(10, u"me'twas")
(10, u'turmoil')
(10, u'droopeth')
(10, u'2sm193')
(10, u'biddy')
(10, u'1chr1512')
(10, u'2sm333')
(10, u"'hadst")
(10, u'sardinia')
(10, u'yielders')
(10, u'2cor413')
(10, u'commandto')
(10, u"clasp'd")
(10, u'searchers')
(10, u'1th52')
(10, u'speargrass')
(10, u'elihoreph')
(10, u'varletto')
(10, u'neverdaunted')
(10, u'2cor109')
(10, u'2chr102')
(10, u'1sm196')
(10, u'1sm611')
(10, u'drachm')
(10, u'runagates')
(10, u'irishmen')
(10, u'1ki167')
(10, u'pressures')
(10, u'2cor74')
(10, u'inwhat')
(10, u'revengement')
(10, u'nayward')
(10, u'2ki73')
(10, u'angrychafing')
(10, u'shalman')
(10, u'pamphlet')
(10, u'hege')
(10, u'partialize')
(10, u'soothed')
(10, u'dicky')
(10, u'ammah')
(10, u'nineve')
(10, u'tirralyra')
(10, u'affectionate')
(10, u"bedimm'd")
(10, u'mumblenews')
(10, u'brightshining')
(10, u"ripp'dto")
(10, u'1cor911')
(10, u'bearwhelps')
(10, u'wainropes')
(10, u'jashen')
(10, u'2chr1412')
(10, u'igod')
(10, u'thornier')
(10, u'1ki314')
(10, u'triumphers')
(10, u'1jn228')
(10, u'upstaringthen')
(10, u'brewhouse')
(10, u'passovers')
(10, u'bedwork')
(10, u'2sm77')
(10, u'selftrust')
(10, u'1cor1430')
(10, u'unraised')
(10, u'yeto')
(10, u'vomited')
(10, u'addar')
(10, u'lxv')
(10, u'boorish')
(10, u'dims')
(10, u'lovebroker')
(10, u'frippery')
(10, u'showplace')
(10, u'encircle')
(10, u'cheeses')
(10, u'thricedriven')
(10, u'vaniah')
(10, u'1chr85')
(10, u'1cor88')
(10, u'1cor731')
(10, u'unsquared')
(10, u'shitrai')
(10, u'2chr256')
(10, u'parshandatha')
(10, u'1sm1732')
(10, u'westerly')
(10, u"tell's")
(10, u"perdy'")
(10, u'methegammah')
(10, u'passingbell')
(10, u"help'")
(10, u'2cor67')
(10, u'2cor912')
(10, u'2chr1517')
(10, u'jubal')
(10, u'smallness')
(10, u'nursha')
(10, u'highwitted')
(10, u'mails')
(10, u'seacaptain')
(10, u'feedingplace')
(10, u'tuners')
(10, u'shemidaites')
(10, u"fortress'd")
(10, u'hastyfooted')
(10, u'2chr281')
(10, u'1sm1444')
(10, u"andrew'")
(10, u'korahites')
(10, u'1sm2618')
(10, u'seamen')
(10, u'anchovies')
(10, u'dolorous')
(10, u"shortnumber'd")
(10, u'2tim14')
(10, u'torchstaves')
(10, u'2sm1933')
(10, u'pantingly')
(10, u'venial')
(10, u'1cor79')
(10, u'donne')
(10, u'beraiah')
(10, u'margents')
(10, u'2chr1016')
(10, u'roughhew')
(10, u'puttingby')
(10, u'2sm2019')
(10, u'headland')
(10, u'impressed')
(10, u'cambyses')
(10, u'2chr93')
(10, u'jestings')
(10, u'1chr651')
(10, u'mundane')
(10, u'2chr410')
(10, u'fairings')
(10, u'palisadoes')
(10, u'acclamations')
(10, u'oftsubdued')
(10, u'seneca')
(10, u'discomfit')
(10, u'corroborate')
(10, u'2cor817')
(10, u'lordmy')
(10, u'ap')
(10, u'1sm38')
(10, u'sleavesilk')
(10, u'stonebow')
(10, u"inter'gatory")
(10, u'ensnareth')
(10, u'livings')
(10, u"colme's")
(10, u'2th15')
(10, u'bywords')
(10, u"l'avez")
(10, u'popedom')
(10, u'1ki174')
(10, u'willfully')
(10, u'cooked')
(10, u'husbandless')
(10, u'distributeth')
(10, u'2sm64')
(10, u'nohah')
(10, u'greciannow')
(10, u'kindless')
(10, u'2chr57')
(10, u'backsword')
(10, u'fleetfoot')
(10, u"cloudcapp'd")
(10, u'charon')
(10, u'lxvii')
(10, u'tizite')
(10, u'gardez')
(10, u'rover')
(10, u'wordlegitimate')
(10, u'dinaites')
(10, u'himyou')
(10, u'daff')
(10, u'overpass')
(10, u'hizkiah')
(10, u'shelamb')
(10, u'diotrephes')
(10, u'1sm1747')
(10, u'vouchsafes')
(10, u'forhis')
(10, u'1chr2728')
(10, u'intertissued')
(10, u'assures')
(10, u'contradicts')
(10, u'sergius')
(10, u'heartlings')
(10, u'stormbeaten')
(10, u'antiquary')
(10, u'1cor722')
(10, u'1chr1224')
(10, u'1sm512')
(10, u'gree')
(10, u'copperspur')
(10, u"aery's")
(10, u'mix')
(10, u'examining')
(10, u'2ki513')
(10, u'improbable')
(10, u'cutpurses')
(10, u'1ki237')
(10, u'1sm189')
(10, u'endangered')
(10, u"comes't")
(10, u'1cor146')
(10, u'dancingschools')
(10, u'outfly')
(10, u'2sm1924')
(10, u"honourable'")
(10, u'conceivinghark')
(10, u'societywhich')
(10, u'reanswer')
(10, u'1sm145')
(10, u'conflicting')
(10, u'prescribed')
(10, u'1sm1822')
(10, u'affray')
(10, u'2chr44')
(10, u'1pet58')
(10, u'itso')
(10, u'fellowtribune')
(10, u'informations')
(10, u'uncorruptible')
(10, u'elflocks')
(10, u'wornout')
(10, u'eladah')
(10, u'2tim110')
(10, u'aftereye')
(10, u'notedo')
(10, u'deadlystanding')
(10, u'sayst')
(10, u'1ki422')
(10, u'2sm108')
(10, u'payeth')
(10, u'makaz')
(10, u'honestnatured')
(10, u'prohibit')
(10, u'2ki416')
(10, u'inhabitest')
(10, u"unear'd")
(10, u'intrenchant')
(10, u'omers')
(10, u'remercimens')
(10, u'sycomores')
(10, u'distaffwomen')
(10, u'2chr2611')
(10, u'scarcebearded')
(10, u'pulsidge')
(10, u'semicircled')
(10, u"children'")
(10, u'leummim')
(10, u'wafting')
(10, u'prophesier')
(10, u'1cor1210')
(10, u'discommend')
(10, u'gravelled')
(10, u'plumpy')
(10, u"mad'")
(10, u'2ki2529')
(10, u'seventyfive')
(10, u'applications')
(10, u'dismantled')
(10, u'pouted')
(10, u'informs')
(10, u'1ki2038')
(10, u'2ki1120')
(10, u'thicken')
(10, u'unstopped')
(10, u'2chr292')
(10, u"o'erdyed")
(10, u'shoutings')
(10, u'2sm1713')
(10, u'yetpoor')
(10, u'sanguis')
(10, u'1sm220')
(10, u'puteoli')
(10, u'screw')
(10, u'behaveth')
(10, u'1chr1233')
(10, u'2cor41')
(10, u'antiopa')
(10, u'2sm621')
(10, u'foamy')
(10, u'meeds')
(10, u'beseek')
(10, u'salamis')
(10, u'2sm913')
(10, u'2chr627')
(10, u'zacchur')
(10, u'littlest')
(10, u'ista')
(10, u'brinepit')
(10, u'1chr2711')
(10, u'towngates')
(10, u'meekly')
(10, u'1ki1710')
(10, u'brainbut')
(10, u'breedbate')
(10, u'trueor')
(10, u'akan')
(10, u'fausse')
(10, u'halves')
(10, u'brighter')
(10, u'2ki1010')
(10, u'supposal')
(10, u'unprovident')
(10, u'2chr2013')
(10, u'1sm303')
(10, u'yeomen')
(10, u'zeruah')
(10, u'vulgarvidelicet')
(10, u"highrear'd")
(10, u'2sm711')
(10, u'pirathon')
(10, u'angled')
(10, u'edition')
(10, u'2cor1215')
(10, u"'misshapen")
(10, u'2sm816')
(10, u'wisp')
(10, u'2tim213')
(10, u'promisebreach')
(10, u'refusest')
(10, u"truefix'd")
(10, u'1sm74')
(10, u'wiseness')
(10, u'2ki632')
(10, u'unbuckles')
(10, u'lightfoot')
(10, u"dispossess'd")
(10, u"'show")
(10, u'craver')
(10, u'courted')
(10, u'odesdemona')
(10, u'1sm1220')
(10, u'fortuneto')
(10, u'1chr516')
(10, u'2chr223')
(10, u'mastic')
(10, u'1chr642')
(10, u'2ki1818')
(10, u'bearwhelp')
(10, u'syriamaachah')
(10, u'mauritania')
(10, u"split'")
(10, u'rabato')
(10, u'drawest')
(10, u'sona')
(10, u'marybuds')
(10, u'fieldbed')
(10, u'2chr335')
(10, u'jerusha')
(10, u"revenge's")
(10, u"marvell'st")
(10, u'2ki1115')
(10, u'surveyors')
(10, u'trifled')
(10, u'outgoes')
(10, u'chastest')
(10, u'va')
(10, u"ran'st")
(10, u"fingers'")
(10, u'1cor418')
(10, u'naturalize')
(10, u'horsestealer')
(10, u'berattle')
(10, u'2tim411')
(10, u'crisped')
(10, u'adoting')
(10, u'1cor1229')
(10, u'2sm614')
(10, u'1sm916')
(10, u'feminine')
(10, u'utensilsfor')
(10, u'insculpture')
(10, u'2cor1310')
(10, u"wealth's")
(10, u'bubukles')
(10, u'recketh')
(10, u'hiswhat')
(10, u'simile')
(10, u'buckbaskets')
(10, u'kison')
(10, u'ranking')
(10, u'grapegleanings')
(10, u'oxhead')
(10, u"gallant'st")
(10, u'unduteous')
(10, u'lettuce')
(10, u'1cor1539')
(10, u'1ki1413')
(10, u"yellow'd")
(10, u'triumpher')
(10, u"curl'dpate")
(10, u'unaching')
(10, u'reignest')
(10, u'1sm1310')
(10, u'2chr344')
(10, u'flail')
(10, u'2cor134')
(10, u'anticly')
(10, u'loggerheaded')
(10, u'1chr189')
(10, u'1sm1916')
(10, u'haver')
(10, u"horseman's")
(10, u'animis')
(10, u'gardenthus')
(10, u"mourn'st")
(10, u'benign')
(10, u'1sm310')
(10, u'2ki1025')
(10, u'outtalk')
(10, u'2chr2826')
(10, u'2chr3515')
(10, u'2chr924')
(10, u"belee'd")
(10, u'handmaiden')
(10, u'2chr3230')
(10, u'1ki2210')
(10, u'2sm1829')
(10, u'2chr245')
(10, u'midage')
(10, u"bitch's")
(10, u'industriously')
(10, u"monkey's")
(10, u'jeezer')
(10, u'2sm724')
(10, u'2ki1511')
(10, u"scarf'd")
(10, u'inoculate')
(10, u'obstructions')
(10, u'jephthae')
(10, u'1ki41')
(10, u"unfee'd")
(10, u'throwerout')
(10, u'1chr291')
(10, u'vocatur')
(10, u'downrazed')
(10, u'unbutton')
(10, u'lordcome')
(10, u'maalehacrabbim')
(10, u'discolours')
(10, u'kingcardinal')
(10, u'1sm2823')
(10, u'1th310')
(10, u'hoarfrost')
(10, u"founder'd")
(10, u'1chr282')
(10, u'2ki236')
(10, u'quickconceiving')
(10, u'1sm1215')
(10, u'2chr234')
(10, u"numb'd")
(10, u'1chr637')
(10, u'enwheel')
(10, u'shiloah')
(10, u'chopine')
(10, u'ermengare')
(10, u'exactors')
(10, u"gravity's")
(10, u'earthtreading')
(10, u'gur')
(10, u'trammel')
(10, u'2chr326')
(10, u'manhoods')
(10, u"malvolio'")
(10, u'counterchange')
(10, u'hawthornbush')
(10, u'intil')
